Mnemonic      Mnemonic description
NATRELAX  NATURAL ENVIRONMENTS ARE PEACEFUL AND RELAXING
NATACTIVE CYCLING, SPORTS, ETC
NATMEET   COMMUNITY
NATTIMEOK I SPEND AS MUCH TIME AS I WOULD LIKE IN NATURAL ENVIRONMENTS
NATLACK   THERE IS A LACK OF INTERESTING ACTIVITIES IN NATURAL ENVIRONMENTS
NUMPETS   HOW MANY PETS R'S FAMILY HAS
WHYNOPET  REASON WHY R'S FAMILY HAS NO PET
                                           Page 62                              Index
PETB4      DID R'S FAMILY HAVE A PET 5 YEARS AGO
DOG        DOG
CAT        CAT
SMAMMAL    SMALL MAMMAL (RABBIT, GERBIL, HAMSTER)
BIRD       BIRD
FISH       FISH
REPTIL     REPTILE (TURTLE, SNAKE, LIZARD)
HORSE      HORSE
PIG        PIG
GOAT       GOAT
OTHPET     OTHER PET
PETPLAY    HOW OFTEN R SPENDS TIME EACH DAY PLAYING WITH OR TRAINING PET
PETCMFRT   HOW OFTEN R SEEKS PET FOR COMFORT WHEN FEELING BAD
PETFAM     HOW OFTEN R CONSIDERS PET MEMBER OF FAMILY
DOGB4      DOG
CATB4      CAT
SMAMMALB4  SMALL MAMMAL (RABBIT, GERBIL, HAMSTER)
BIRDB4     BIRD
FISHB4     FISH
REPTILB4   REPTILE (TURTLE, SNAKE, LIZARD)
HORSEB4    HORSE
PIGB4      PIG
GOATB4     GOAT
OTHPETB4   OTHER PET
PETB4PLY   HOW OFTEN R USED TO SPEND TIME EACH DAY PLAYING WITH OR TRAINING PET
PETB4CMFRT HOW OFTEN R USED TO SEEK PET FOR COMFORT WHEN FEELING BAD
PETB4FAM   HOW OFTEN R CONSIDERED PET MEMBER OF FAMILY
WORKFOR    R WORK FOR WHOM
WORKFOR1   R WORK FOR WHOM
OWNSTOCK   R HAS STOCK IN R'S COMPANY
STOCKVAL   TOTAL DOLLAR VALUE OF R'S STOCK
STOCKOPS   R HOLD ANY STOCK OPTIONS OF R'S COMPANY
EXTRAPAY   ELIGIBLE FOR PERFORMANCE BASED PAY
COMPPERF   SIZE OF PERF BASED PAY DEPEND ON PROFITS
DEPTPERF   SIZE OF PERF BASED PAY DEPEND ON WORKGROUP
INDPERF    SIZE OF PERF BASED PAY DEPEND ON INDIVIDUAL
EXTR2001   DID R RECEIVE PERF BASED PAYMENT IN 2001
EXTR2017   DID R RECEIVE ANY PERFORMANCE-BASED INCENTIVES IN 2017
EXTRAVAL   TOTAL DOLLAR VALUE OF PAY IN PREVIOUS YEAR
EXTRAYR    YEAR OF THE MOST RECENT PERF BASED PAYMENTS
YEARVAL    TOTAL DOLLAR VALUE OF PAYMENTS IN THAT YEAR
SEECOWRK   HOW EASY TO SEE WHETHER CO-WORKERS WORKING
COWRKHRD   HOW HARD TO SAY HOW PEOPLE WORK AT WORKPLACE
TALKEMP    HOW LIKELY TO TALK DIRECTLY IF COWORKER NOT WORK
TALKSUP    HOW LIKELY TO SPEAK SUPERVISOR IF COWORKER NOT W
DONOTHNG   HOW LIKELY TO DO NOTHING IF COWORKER NOT WORKING
LASTWKMO   WHAT MONTH WERE YOU LAST WORKING
LASTWKYR   WHAT YEAR WERE YOU LAST WORKING
EMPATHY1   R HAVE TENDER FEELING FOR PEOPLE LESS FORTUNATE
EMPATHY2   R DOES NOT FEEL VERY SORRY FOR PEOPLE HAVING PRO
EMPATHY3   R FEELS PROTECTIVE TOWARDS PEOPLE TAKEN ADVANTAGE
EMPATHY4   OTHERS MISFORTUNES DO NOT DISTURB R
                                        Page 63             Index
EMPATHY5 R DOES NOT FEEL PITY FOR SOMEONE TREATED UNFAIR
EMPATHY6 R OFTEN QUITE TOUCHED BY THINGS
EMPATHY7 R DESCRIBES ONESELF AS A SOFT-HEARTED PERSON
GIVBLOOD R DONATED BLOOD DURING THE PAST 12 MONTHS
GIVHMLSS R HAS GIVEN FOOD OR MONEY TO A HOMELESS PERSON
RETCHNGE R RETURNED MONEY AFTER GETTING TOO MUCH CHANGE
CUTAHEAD R ALLOWED A STRANGER TO GO AHEAD OF YOU IN LINE
VOLCHRTY R DONE VOLUNTEER WORK FOR A CHARITY
GIVCHRTY R HAS GIVEN MONEY TO A CHARITY
GIVSEAT  R OFFERED SEAT TO A STRANGER DURING PAST 12 MONTHS
HELPAWAY R LOOKED AFTER PLANT OR PET OF OTHERS WHILE AWAY
CARRIED  R CARRIED A STRANGER'S BELONGINGS
DIRECTNS R HAS GIVEN DIRECTIONS TO A STRANGER
LOANITEM R HAS LET SOMEONE BORROW A ITEM OF SOME VALUE
SELFLESS R FEELS LIKE A SELFLESS CARING FOR OTHERS
ACCPTOTH R ACCEPT OTHERS EVEN WHEN THEY DO THINGS WRONG
OTHSHELP PEOPLE SHOULD HELP LESS FORTUNATE OTHERS
CARESELF THOSE IN NEED HAVE TO TAKE CARE OF THEMSELVES
PEOPTRBL ASSISTING PEOPLE IN TROUBLE IS VERY IMPORTANT
SELFFRST PEOPLE NEED NOT OVERLY WORRY ABOUT OTHERS
VOLMONTH VOLUNTEER IN LAST MONTH
VALGIVEN TOTAL DONATIONS PAST YEAR R AND IMMEDIATE FAMILY
FININD   YOUNG SHOULD BE FINANCIALLY INDEPENDENT
FININD1  AGED SHOULD BE FINANCIALLY INDEPENDENT
OWNHH    YOUNG SHOULD NOT LIVE WITH PARENTS
OWNHH1   AGED SHOULD STOP LIVING WITH PARENTS
EDDONE   YOUNG SHOULD COMPLETE FORMAL SCHOOLING
EDDONE1  AGED SHOULD COMPLETE FORMAL SCHOOLING
FTWORK   YOUNG SHOULD BE EMPLOYED FULL-TIME
FTWORK1  AGED SHOULD BE EMPLOYED FULL-TIME
SUPFAM   YOUNG SHOULD BE ABLE TO SUPPORT FAMILY
SUPFAM1  AGED SHOULD BE ABLE TO SUPPORT FAMILY
HAVCHLD  YOUNG SHOULD HAVE CHILD
HAVCHLD1 AGED SHOULD HAVE CHILD
GETMAR   YOUNG SHOULD GET MARRIED
GETMAR1  AGED SHOULD GET MARRIED
BOYCOTT  HAVE EVER BOYCOTTED A PRODUCT PAST 5 YEARS
SIGNPET  HAVE EVER SIGNED A PETITION PAST 5 YEARS
PROTEST  HAVE EVER JOINED A PROTEST RALLY PAST 5 YEARS
CONOFFCL HAVE EVER CONTACTED AN ELECTED OFFICIAL
GIVCHNG  HAVE GIVEN MONEY TO GROUP ADVOCATING SOCIAL CHANGE
HLPNEEDY HAVE EVER CONTRIBUTED TIME TO HELP THE NEEDY
PARTTHON HAVE PARTICIPATED IN A WALKATHON OVER PAST 5 YEARS
CHLDVIG  VIGNETTE ASKED
CHLDPRB  WHAT R THINK MAY BE WRONG WITH A NAMED YOUTH
CHLDPROB HOW SERIOUS R CONSIDER HIS OR HER PROBLEM
CHLDHLP  WHAT SHOULD BE DONE TO HELP A NAMED YOUTH
BADCHAR  SITUATION CAUSED BY OWN BAD CHARACTER
CHEMBAL  SITUATION BY A CHEMICAL IMBALANCE IN THE BRAIN
STRESSFL SITUATION CAUSED BY STRESSFUL CIRCUMSTANCES
GENEPROB SITUATION CAUSED BY A GENETIC OR INHERITED PROBLEM
RAISED   SITUATION CAUSED BY THE WAY HE OR SHE WAS RAISED
                                        Page 64               Index
VIOLTV   SITUATION CAUSED BY WATCHING VIOLENT TV
DISCIPLN SITUATION CAUSED BY LACKING DISCIPLINE IN THE
ALLERGIC SITUATION CAUSED BY FOOD OR CHEMICAL ALLERGIES
BETTROWN SITUATION WILL IMPROVE ON ITS OWN
IMPRVDIS SITUATION WILL IMPROVE WITH STRICT DISCIPLINE
IMPRVEAT SITUATION WILL IMPROVE WITH SOME CHANGES IN DIET
IMPRVMED SITUATION WILL IMPROVE WITH MEDICAL TREATMENT
NEXTDOOR HOW WILLING R MOVE NEXT DOOR TO CHILD'S FAMILY
SPENDEVE HOW WILLING R SPEND EVENING WITH CHILD'S FAMILY
CHLDFRND HOW WILLING R HAVE CHILDREN MAKE FRIENDS WITH CH
CHLDSCH  HOW WILLING R HAVE CHILD IN SAME CLASS OF R'S CH
ADFAM    WOULD R GET ADVICE FROM FAMILY IF CHILD WAS R'S
ADFAMMED WOULD R HAVE CHILD BE ON MEDICATION BY FAM ADVICE
ADTCH    WOULD R GET ADVICE FROM TEACHERS CHILD IF WAS R'S
ADTCHMED WOULD HAVE CHILD BE ON MED BY TEACHERS ADVICE
ADDOC    WOULD GO TO A MEDICAL DOCTOR IF HE WAS R'S CHILD
ADDOCMED WOULD HAVE CHILD BE ON MED BY DOCS ADVICE
ADCOU    WOULD R GO TO COUNSELOR IF CHILD WAS R'S
ADCOUMED WOULD R HAVE CHILD ON MED BY COUNSELOR'S ADVICE
ADPSY    WOULD R GO TO A PSYCHIATRIST IF CHILD WAS R'S
ADPSYMED WOULD R HAVE CHILD ON MED BY PSYCHIATRISTS AD
ADHOS    WOULD R CHECK CHILD INTO A HOSPITAL IF WAS R'S
ADHOSMED WOULD R HAVE CHILD BE ON MED BY HOSPITAL STAFF
FORCEDOC SHOULD CHILD BE FORCED BY LAW TO BE TREATED BY DOC
FORCEMED SHOULD CHILD BE FORCED BY LAW TO TAKE A PRESCRIPTION
FORCEHOS SHOULD CHILD BE FORCED BY LAW TO ADMIT TO A HOSP
GRWINGUP IS CHILD EXPERIENCING NORMAL UPS AND DOWNS
MNTLILL  IS CHILD EXPERIENCING A MENTAL ILLNESS
ILLPHYS  IS CHILD EXPERIENCING A PHYSICAL ILLNESS
VIOLPEOP WOULD CHILD DO SOMETHING VIOLENT TOWARD OTHER
VIOLSELF WOULD CHILD DO SOMETHING VIOLENT TO OWN SELF
OUTSIDER GETTING MENTAL HEALTH TREATMENT MAKE CHILD AN
SUFADULT WOULD CHILD SUFFER AS ADULT IF OTHER LEARN
COMKNOWS PEOPLE IN COMMUNITY STILL KNOW WHO HAD MENTAL
FAILURE  MENTAL TREATMENT FOR CHILD MAKE PARENT FEEL LIKE
OVRMEDKD DOCS ARE OVER MEDICATING CHILD WITH COMMON PROBLEM
MEDKDNEG MEDICATING CHILD WILL HAVE LONG TERM NEGATIVE
PUTSOFF  PSYCHIATRIC MED ONLY PUT OFF DEALING WITH PROBLEM
TRBLLAW  CHILD WITH MED GET INTO LESS TROUBLE WITH THE
MEDSAVTX GOVT PROGRAMS FOR MENTAL HEALTH TREATMENT WILL
ZOMBIES  MED FOR BEHAVIOR PROBLEMS TURN KIDS INTO ZOMBIES
PRYNTFAM MED JUST PREVENT FAMILY FROM WORKING OUT PROBLEM
ADHDKNOW WHAT DOES R KNOW ABOUT ADHD
ADHDKNW  WHAT DOES R KNOW ABOUT ADHD (VERBATIM)
ADHDREAL IS ADHD A REAL DISEASE
ADHDCON  CHILDREN SHOULD BE GIVEN COUNSELING FOR ADHD
ADHDMED  CHILDREN SHOULD BE GIVEN MEDICATION TO TREAT ADHD
MNTLREL  EFFECT OF MENTAL HEALTH PROBLEM ON RELATION WITH
MEDSYMPS MED FOR MENTAL HEALTH PROBLEM HELP PEOPLE
MEDADDCT MED FOR MENTAL HEALTH PROBLEM ARE ADDICTIVE
MEDWEAK  TAKING MEDICATIONS IS A SIGN OF WEAKNESS
MEDUNACC MED FOR MENTAL HEALTH PROBLEM OFTEN HAVE SIDE OF
                                         Page 65                  Index
SOLVEOWN  R WOULD SOLVE PROBLEM ON ONES OWN OR GET ADVICE
DOC15A    DOCTOR NOT REALLY CARE ME AS A PERSON
DOC16A    DOCTORS JUDGMENT TRUSTED
DOC18A    DOCTOR PUT MEDICAL NEEDS ABOVE ALL OTHER
DOC19A    DOCTOR A REAL EXPERT IN TAKING CARE PROBLEM
DOC20A    DOCTOR TELL ME IF A MISTAKE WAS MADE
CANINF1   WOULD USE SEARCH ENGINE FOR INFORMATION ON CANDIDATE
CANINF2   WOULD USE CATEGORY DIRECTORY INFORMATION ON CAN
CANINF3   WOULD USE BOOKMARK FOR INFORMATION ON CANDIDATE
CANINF4   WOULD GUESS OR TYPE SITE NAME FOR INFORMATION O
CANINF5   WOULD SEEK ADVICE FOR INFORMATION ON CANDIDATE
CANINF6   WOULD USE CHAT GROUP FOR INFORMATION ON CANDIDA
CANINF7   WOULD GO TO CANDIDATE SITE FOR INFORMATION ON C
CANINF8   WOULD GO TO POLITICS SITE FOR INFORMATION ON CA
CANINF9   WOULD GO TO NEWS SITE FOR INFORMATION ON CANDID
CANINF10  WOULD GO TO PORTAL SITE FOR INFORMATION ON CANDIDATE
CANINF11  WOULD GO TO GOVT SITE FOR INFORMATION ON CANDID
CANINF12  WOULD REFUSE TO ANSWER NOT SURE DON'T KNOW
CANINF13  DOES R MENTIONED ANY SPECIFIC URL?
CANINF14  FIRST SITE MENTIONED
DIFSTAND  SOME PPL HOLD STANDARD IN WORKPLACE THAT OTHERS DON’T
RPTPROBS  PPL FEEL FREE TO REPORT PROBLEMS IN WORKPLACE
OTHCREDT  OTHER PEOPLE TAKE CREDIT FOR R'S WORK OR IDEAS
PUTDOWN   PPL AT WORK TREAT R IN A MANNER PUTTING R DOWN
LACKINFO  PPL AT WORK FAIL TO GIVE R NECESSARY INFO
PERSPACE  PPL AT WORK GET IN R'S PERSONAL SPACE TO INTIMIDATE
PHYSHARM  R HAVE BEEN THREATENED WITH PHYSICAL HARM AT WORK
ACTUPSET  PPL AT WORK THROW THINGS WHEN UPSET WITH R
SHOUT     PPL AT WORK SHOUT AT R IN HOSTILE MANNER
HOTARGUS  HEATED ARGUMENTS OCCUR IN WORKPLACE
RELIEDON  PPL AT WORK CAN BE RELIED ON WHEN NEEDS HELP
GDJOBSEC  JOB SECURITY IS GOOD
TREATRES  PEOPLE ARE TREATED WITH RESPECT
LOOKAWAY  PPL LOOK THE OTHER WAY WHEN OTHERS ARE THREATENED
SKIPWORK  HOW OFTEN R STAYED AT HOME OR LEAVE WORK EARLY
NUMEMPS   NUMBER OF EMPLOYEE FOR THE SELF-EMPLOYED
WRKSLFFAM DOES OR DID R WORK ON THEIR OWN FAMILY BUSINESS OR FARM
IGNORWK   FEEL IGNORED AT WORK
RUMORWK   RUMORS OR GOSSIP ABOUT R AT WORK
JOKESWK   TARGET OF DEROGATORY COMMENTS OR JOKES AT WORK
EHARASWK  HARASSED ELECTRONICALLY AT WORK
RUDEWK    TREATED RUDELY AT WORK
LIEDCWKR  LIED TO AT WORK
DENYRAIS  DENIED RAISE WITHOUT REASON AT WORK
WKBHVRS   EMPLOYEE DOING THESE THINGS AT WORK TO R
WKRSPNS   RESPONSE TO MISBEHAVIOR FROM COWORKERS
NATBORN   WHAT COUNTRY R WERE BORN IN
BORNHOME  WHAT KIND OF HOUSE R'S FAMILY LIVED AT BIRTH
TRAVELUS  TRANSPORTATION R TOOK WHEN TRAVELLING TO US
IMMSTATS  R'S CURRENT IMMIGRATION STATUS RIGHT NOW
RUNDRSTD  DID R APPEAR TO UNDERSTAND 3-BOX ANSWER FORMAT
ROBJECT   DID R OBJECT TO OR DELAY ANSWERING CARD C4
                                          Page 66            Index
GENEVIG1 VIGNETTE NUMBER USED
GENEVIG2 VIGNETTE ORDER USED
GENENVO1 GENE OR LEARNING?
GENENVO2 GENE OR LEARNING?
GENENVO3 GENE OR LEARNING?
GENENVO4 GENE OR LEARNING?
SATSELF  ON THE WHOLE I AM SATISFIED WITH MYSELF
AFAILURE I AM INCLINED TO FEEL I AM A FAILURE
SLFRSPCT I WISH I COULD HAVE MORE RESPECT FOR MYSELF
OFWORTH  I AM A PERSON OF WORTH AT LEAST EQUAL TO OTHERS
NOGOOD   AT TIMES I THINK I AM NO GOOD AT ALL
OPTIMIST I AM ALWAYS OPTIMISTIC ABOUT MY FUTURE
PESSIMST I HARDLY EVER EXPECT THINGS TO GO MY WAY
NOTCOUNT I RARELY COUNT ON GOOD THINGS HAPPENING TO ME
MOREGOOD I EXPECT MORE GOOD THINGS TO HAPPEN TO ME THAN BAD
OWNDOING DEGREE OF INFLUENCE OVER WHAT HAPPENS TO ME
GENEEXPS GENES OR EXPERIENCES IN DETERMINING PERSONALITY
DEPNDABL R IS A DEPENDABLE PERSON
SADBLUE  R IS A PERSON WHO FEELS SAD AND BLUE
ATHLETIC R IS AN ATHLETIC PERSON
KINDPERS R IS A KIND PERSON
SELFISH  R IS A SELFISH PERSON
INTRWGHT INTERVIEW ASSESSMENT OF R'S WEIGHT
AGAPE1   WOULD SUFFER THAN LET THE ONE R LOVE SUFFER
AGAPE2   NOT HAPPY UNLESS THE ONE S HAPPINESS IS BEFORE R
AGAPE3   WILLING TO SACRIFICE WISH TO LET THE ONE ACHIEVE
AGAPE4   WOULD ENDURE ALL THINGS FOR THE ONE R LOVE
HGUNLAW  SHOULD BE MORE RESTRICTIONS ON HANDGUN
HGUNCRIM MORE RESTRICTIONS ON HANDGUN DECREASE CRIME
CRIMUP   WHAT IF MORE RESTRICTIONS INCREASE CRIME
CRIMDOWN WHAT IF MORE RESTRICTIONS REDUCE CRIME
NUMRELEX NUMBER OF REAL EXPERIENCE THAT CHANGED R'S LIFE
AGERELEX AGE OF R AT RELIGIOUS EXPERIENCE
CHNGREL  R CHANGED RELIGION BECAUSE OF EXPERIENCE
NUMRBORN HOW MANY BORN-AGAIN EXPERIENCE R HAD
AGERBORN AGE OF R AT BORN-AGAIN EXPERIENCE
CHNGRBRN R CHANGED RELIGION BECAUSE OF EXPERIENCE
ENTITY   ENTITY MENTIONS IN RELIGIOUS CHANGE
EXPCHNG1 CAUSE OF RELIGIOUS CHANGE1
EXPCHNG2 CAUSE OF RELIGIOUS CHANGE2
EXPCHNG3 CAUSE OF RELIGIOUS CHANGE3
WHYCHNG1 RELIGIOUS CHANGE EXPERIENCE1
WHYCHNG2 RELIGIOUS CHANGE EXPERIENCE2
WHYCHNG3 RELIGIOUS CHANGE EXPERIENCE3
CHANGED1 LIFE CHANGES FROM RELIGIOUS CHANGE1
CHANGED2 LIFE CHANGES FROM RELIGIOUS CHANGE2
CHANGED3 LIFE CHANGES FROM RELIGIOUS CHANGE3
RELALT1  REL CHANGE ALTERED R'S OUTLOOK ON LIFE
RELALT2  REL CHANGE MADE R SENSE LIFE WAS MEANINGFUL
RELALT3  REL CHANGE CHANGED GOALS IN LIFE
RELALT4  REL CHANGE POSITIVELY AFFECTED RELATION WITH OTHERS
RELALT5  REL CHANGE CHANGED DAY TO DAY ACTIVITIES
                                        Page 67                Index
RELALT6  REL CHANGE CHANGED LIFE OVERALL
ALLOFLFE EXPERIENCE CONNECTION TO ALL OF LIFE
JOYLIFTS FEEL JOY DURING WORSHIP
RELSPRT1 FIND STRENGTH RELIGION OR SPIRITUALITY
RELSPRT2 FIND COMFORT IN RELIGION OR SPIRITUALITY
GODHELP  ASK FOR GODS HELP IN DAILY ACTIVITIES
GODGUIDE FEEL GUIDED BY GOD IN DAILY ACTIVITIES
GODLVDIR FEEL GODS LOVE FOR R DIRECTLY
GODLVOTH FEEL GODS LOVE FOR ME THROUGH OTHERS
BLESSNGS FEEL THANKFUL FOR R'S BLESSINGS
CLOSRGOD DESIRE TO BE CLOSER TO GOD
GODCLOSE HOW CLOSE TO GOD
IDOLS    CATHOLICS ARE IDOLS
ROSARIES CATHOLIC ROSARIES ARE SUPERSTITIOUS
NOTTHINK CATHOLICS ARE NOT PERMITTED TO THINK
EVDRINK  EVER DRANK ANY ALCOHOLIC BEVERAGE
DRINKYR  HOW REGULARLY R DRINK OVER LAST 12 MONTHS
DRINKDAY HOW MANY DRINKS R HAVE ON A DAY WHEN DRINKING
DRINK6UP HOW OFTEN R HAS 6 OR MORE DRINKS IN A DAY
DRINKMAX LARGEST NUMBER OF DRINKS IN A DAY LAST 12 MONTHS
DRINK12  HOW OFTEN AT LEAST 12 BUT LESS THAN 20 DRINKS
DRINK8   HOW OFTEN AT LEAST 8 BUT LESS THAN 12 DRINKS
DRINK5   HOW OFTEN AT LEAST 5 BUT LESS THAN 8 DRINKS
DRINK3   HOW OFTEN AT LEAST 3 BUT LESS THAN 5 DRINKS
DRINK1   HOW OFTEN AT LEAST 1 BUT LESS THAN 3 DRINKS
DRINKMIN HOW OFTEN AT LEAST A SIP BUT LESS THAN ONE FULL DRINK
CHURCHTX MEMBERSHIP IN CHURCH-RELATED GROUPS
INFRMGRP ANY ACTIVITIES WITH THE SAME GROUP OF PPL REGULARLY
TYPFRAT  R BELONGS TO MORE THAN ONE FRATERNAL GROUPS
TYPSERV  R BELONGS TO MORE THAN ONE SERVICE CLUBS
TYPVET   R BELONGS TO MORE THAN ONE VETERANS GROUPS
TYPPOLIT R BELONGS TO MORE THAN ONE POLITICAL CLUBS
TYPUNION R BELONGS TO MORE THAN ONE LABOR UNIONS
TYPSPORT R BELONGS TO MORE THAN ONE SPORTS GROUPS
TYPYOUTH R BELONGS TO MORE THAN ONE YOUTH GROUPS
TYPSCHL  R BELONGS TO MORE THAN ONE SCHOOL SERVICE GROUPS
TYPHOBBY R BELONGS TO MORE THAN ONE HOBBY CLUBS
TYPGREEK R BELONGS TO MORE THAN ONE SCHOOL FRATERNITIES
TYPNAT   R BELONGS TO MORE THAN ONE NATIONALITY GROUPS
TYPFARM  R BELONGS TO MORE THAN ONE FARM ORGANIZATIONS
TYPLIT   R BELONGS TO MORE THAN ONE LITERARY GROUPS
TYPPROF  R BELONGS TO MORE THAN ONE PROFESSIONAL SOCIETIES
TYPCHURH R BELONGS TO MORE THAN ONE CHURCH AFFILIATE GROUPS
TYPOTHER R BELONGS TO MORE THAN ONE OTHER GROUPS
TYPINFRM R BELONGS TO MORE THAN ONE INFORMAL GROUPS
NUMFRAT  HOW MANY R BELONGS TO FRATERNAL GROUPS
NUMSERV  HOW MANY R BELONGS TO SERVICE CLUBS
NUMVET   HOW MANY R BELONGS TO VETERANS GROUPS
NUMPOLIT HOW MANY R BELONGS TO POLITICAL CLUBS
NUMUNION HOW MANY R BELONGS TO LABOR UNIONS
NUMSPORT HOW MANY R BELONGS TO SPORTS GROUPS
NUMYOUTH HOW MANY R BELONGS TO YOUTH GROUPS
                                     Page 68                     Index
NUMSCHL  HOW MANY R BELONGS TO SCHOOL SERVICE GROUPS
NUMHOBBY HOW MANY R BELONGS TO HOBBY CLUBS
NUMGREEK HOW MANY R BELONGS TO SCHOOL FRATERNITIES
NUMNAT   HOW MANY R BELONGS TO NATIONALITY GROUPS
NUMFARM  HOW MANY R BELONGS TO FARM ORGANIZATIONS
NUMLIT   HOW MANY R BELONGS TO LITERARY GROUPS
NUMPROF  HOW MANY R BELONGS TO PROFESSIONAL SOCIETIES
NUMCHURH HOW MANY R BELONGS TO CHURCH AFFILIATE GROUPS
NUMOTHER HOW MANY R BELONGS TO OTHER GROUPS
NUMINFRM HOW MANY R BELONGS TO INFORMAL GROUPS
YRFRAT1  HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS1
YRFRAT2  HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS2
YRFRAT3  HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS3
YRFRAT4  HOW MANY YRS R BEEN A MEMBER OF FRATERNAL GROUPS4
YRSERV1  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB1
YRSERV2  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB2
YRSERV3  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB3
YRSERV4  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB4
YRSERV5  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB5
YRSERV6  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB6
YRSERV7  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB7
YRSERV8  HOW MANY YEARS R BEEN A MEMBER OF SERVICE CLUB8
YRVET1   HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS1
YRVET2   HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS2
YRVET3   HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS3
YRVET4   HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS4
YRVET5   HOW MANY YEARS R BEEN A MEMBER OF VETERAN GROUPS5
YRPOLIT1 HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB1
YRPOLIT2 HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB2
YRPOLIT3 HOW MANY YEARS R BEEN A MEMBER OF POLITICAL CLUB3
YRUNION1 HOW MANY YEARS R BORN A MEMBER OF LABOR UNION1
YRUNION2 HOW MANY YEARS R BORN A MEMBER OF LABOR UNION2
YRUNION3 HOW MANY YEARS R BORN A MEMBER OF LABOR UNION3
YRUNION4 HOW MANY YEARS R BORN A MEMBER OF LABOR UNION4
YRSPORT1 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS1
YRSPORT2 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS2
YRSPORT3 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS3
YRSPORT4 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS4
YRSPORT5 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS5
YRSPORT6 HOW MANY YEARS R BORN A MEMBER OF SPORTS GROUPS6
YRYOUTH1 HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS1
YRYOUTH2 HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS2
YRYOUTH3 HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS3
YRYOUTH4 HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS4
YRYOUTH5 HOW MANY YEARS R BORN A MEMBER OF YOUTH GROUPS5
YRSCHL1  HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP1
YRSCHL2  HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP2
YRSCHL3  HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP3
YRSCHL4  HOW MANY YEARS R BORN A MEMBER OF SCHOOL SERVICE GROUP4
YRHOBBY1 HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1
YRHOBBY2 HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1
YRHOBBY3 HOW MANY YEARS R BORN A MEMBER OF HOBBY CLUB1
                                        Page 69                  Index
YRGREEK1 HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY1
YRGREEK2 HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY2
YRGREEK3 HOW MANY YEARS R BORN A MEMBER OF SCHOOL FRATERNITY3
YRNAT1   HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP1
YRNAT2   HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP2
YRNAT3   HOW MANY YEARS R BORN A MEMBER OF NATIONAL GROUP3
YRFARM1  HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION1
YRFARM2  HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION2
YRFARM3  HOW MANY YEARS R BORN A MEMBER OF FARM ORGANIZATION3
YRLIT1   HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP1
YRLIT2   HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP2
YRLIT3   HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP3
YRLIT4   HOW MANY YEARS R BORN A MEMBER OF LITERARY GROUP4
YRPROF1  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY1
YRPROF2  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY2
YRPROF3  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY3
YRPROF4  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY4
YRPROF5  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY5
